assigner,application,dependencies,isOptional,isExtension
app_sf_responsive_b2b_test,SMBResponsive,app_sf_responsive_b2b_test,false,true
as_responsive,B2CResponsive,bc_marketing_impex:app_sf_responsive_b2c:app_sf_responsive_cm:app_sf_rest:app_sf_rest_country:app_sf_rest_configuration:app_sf_rest_pricing:pmc_rest:sld_pdf:ac_pdf_flyingsaucer:bc_urlrewrite:ac_customer_segment_std:pf_axis2:bc_rma:app_sf_responsive_rma:ac_gtm:ac_gtm_google_analytics:ac_gtm_sf:ac_order_submission_service:ac_order_history_service:ac_inventory_service,false,false
as_responsive,SMBResponsive,bc_marketing_impex:app_sf_responsive_smb:app_sf_responsive_cm:app_sf_rest:app_sf_rest_country:app_sf_rest_configuration:app_sf_rest_pricing:pmc_rest:sld_pdf:bc_urlrewrite:ac_pdf_flyingsaucer:ac_customer_segment_std:ac_order_submission_service:ac_order_history_service:ac_organization_hierarchies:pf_axis2:bc_rma:app_sf_responsive_rma,false,false
dev_storefront,B2CResponsive,dev_storefront,false,true
app_sf_base_cm,REST,app_sf_base_cm,false,true
app_sf_pwa_cm,REST,app_sf_pwa_cm,false,true
ac_oidc_sf_responsive_b2c,B2CResponsive,ac_oidc_sf_responsive_b2c,false,true
as_responsive_b2b,SimpleSMBResponsive,bc_marketing_impex:app_sf_responsive_smb:app_sf_responsive_cm:app_sf_rest:pmc_rest:sld_pdf:bc_urlrewrite:ac_pdf_flyingsaucer:ac_customer_segment_std:pf_axis2:bc_rma:app_sf_responsive_rma,false,false
as_responsive_b2b,SMBResponsive,app_sf_responsive_costcenter,false,true
as_responsive_b2b,SMBResponsive,app_sf_responsive_b2b,false,true
as_responsive_b2b,SMBResponsive,bc_order_approval_orm,false,true
as_responsive_b2b,SMBResponsive,bc_b2b_role_orm,false,true
as_responsive_b2b,SMBResponsive,bc_contract,false,true
as_responsive_b2b,SMBResponsive,bc_contract_orm,false,true
as_responsive_b2b,SMBResponsive,app_sf_rest_b2b,false,true
as_responsive_b2b,SMBResponsive,app_sf_rest_b2b_costcenter,false,true
as_responsive_b2b,SMBResponsive,app_sf_rest_b2b_order_approval,false,true
as_responsive_b2b,SMBResponsive,app_sf_rest_b2b_punchout,false,true
as_responsive_b2b,SMBResponsive,ac_order_approval,false,true
as_responsive_b2b,SMBResponsive,bc_quote,false,true
as_responsive_b2b,SMBResponsive,bc_quote_orm,false,true
as_responsive_b2b,SMBResponsive,bc_punchout,false,true
as_responsive_b2b,SMBResponsive,bc_punchout_orm,false,true
as_responsive_b2b,SMBResponsive,bc_costobject_orm,false,true
as_responsive_b2b,SMBResponsive,bc_order_costobject_orm,false,true
ac_oidc_sf_responsive_b2b,SMBResponsive,ac_oidc_sf_responsive_b2b,false,true
app_sf_responsive_gdpr,B2CResponsive,app_sf_responsive_gdpr,false,true
app_sf_responsive_gdpr,SMBResponsive,app_sf_responsive_gdpr,false,true
ac_oidc_sf_responsive,B2CResponsive,ac_oidc_sf_responsive,false,true
ac_oidc_sf_responsive_smb,SMBResponsive,ac_oidc_sf_responsive_smb,false,true
