assigner,application,dependencies,isOptional,isExtension
bc_service_test,BCServiceTests,etest:bc_service:bc_service_test,false,false
bc_service_test,ETest,bc_service_test,false,true
bc_approval_demo,SLDSystem,bc_approval_demo,false,true
bc_approval_demo,EnterpriseBackoffice,bc_approval_demo,false,true
bc_approval_demo,SMBResponsive,bc_approval_demo,false,true
bc_organization_test,ETest,bc_organization_test,false,true
bc_organization_test,ETest,bc_organization,false,true
core,Internal.InternalCartridges,core,false,false
etest,ETest,etest:core,false,false
bc_auditing_test,test.ORMTransactionListeningAuditorTest.TestApp,bc_auditing_test,false,false
bc_foundation_test,FoundationTests,bc_foundation:etest,false,false
pf_core_test,CoreTests,pf_core_test:core:etest,false,false
pf_core_test,ETest,pf_core_test,false,true
pf_axis2_test,ETest,pf_axis2,false,true
pf_axis2_test,ETest,pf_axis2_test,false,true
bc_platform_rest_test,ETest,bc_platform_rest_test,false,true
pf_rest_test,ETest,rest,false,true
pf_rest_test,ETest,pf_rest_test,false,true
bc_validation_test,test.ORMTransactionListeningValidatorTest.TestApp,bc_validation_test,false,false
test_app_sf_b2b,BusinessTestSF,bc_order_approval_orm,false,true
test_app_sf_b2b,BusinessTestSF,bc_b2b_role_orm,false,true
test_app_sf_b2b,BusinessTestSF,bc_contract,false,true
test_app_sf_b2b,BusinessTestSF,bc_contract_orm,false,true
test_app_sf_b2b,BusinessTestSF,app_sf_rest_b2b,false,true
test_app_sf_b2b,BusinessTestSF,app_sf_rest_b2b_costcenter,false,true
test_app_sf_b2b,BusinessTestSF,app_sf_rest_b2b_order_approval,false,true
test_app_sf_b2b,BusinessTestSF,app_sf_rest_b2b_punchout,false,true
test_app_sf_b2b,BusinessTestSF,ac_order_approval,false,true
test_app_sf_b2b,BusinessTestSF,bc_quote,false,true
test_app_sf_b2b,BusinessTestSF,bc_quote_orm,false,true
test_app_sf_b2b,BusinessTestSF,bc_punchout,false,true
test_app_sf_b2b,BusinessTestSF,bc_punchout_orm,false,true
test_app_sf_b2b,BusinessTestSF,bc_costobject_orm,false,true
test_app_sf_b2b,BusinessTestSF,bc_order_costobject_orm,false,true
as_backoffice_b2b,EnterpriseBackoffice,app_bo_ch_sales_b2b,false,true
as_backoffice_b2b,EnterpriseBackoffice,ac_order_export_xml_b2b,false,true
as_backoffice_b2b,EnterpriseBackoffice,bc_order_approval_orm,false,true
as_backoffice_b2b,EnterpriseBackoffice,bc_b2b_role_orm,false,true
as_backoffice_b2b,EnterpriseBackoffice,bc_contract,false,true
as_backoffice_b2b,EnterpriseBackoffice,bc_contract_orm,false,true
as_backoffice_b2b,EnterpriseBackoffice,ac_order_approval,false,true
as_backoffice_b2b,EnterpriseBackoffice,bc_costobject_orm,false,true
as_backoffice_b2b,EnterpriseBackoffice,app_bo_rest_b2b_customer,false,true
as_backoffice_b2b,SLDSystem,bc_contract,false,true
as_backoffice_b2b,SLDSystem,ac_order_approval,false,true
as_headless_b2b,REST,app_sf_rest_smb,false,true
as_headless_b2b,REST,app_sf_rest_b2b,false,true
as_headless_b2b,REST,app_sf_rest_b2b_costcenter,false,true
as_headless_b2b,REST,app_sf_rest_b2b_order_approval,false,true
as_headless_b2b,REST,app_sf_rest_b2b_punchout,false,true
as_headless_b2b,REST,app_sf_headless_emails_b2b,false,true
sld_pmc_test,ETest,sld_pmc_test,false,true
ac_customer_segment_demo,DemoCartridges,ac_customer_segment_demo,false,true
bc_marketing_impex_test,ETest,bc_marketing,false,true
ac_productprice_service,SLDSystem,ac_productprice_service,false,true
ac_productprice_service,EnterpriseBackoffice,ac_productprice_service,false,true
ac_payment_demo,DemoCartridges,ac_payment_demo,false,true
ac_oidc_sld_system,SLDSystem,ac_oidc_sld_system,false,true
smc,SMC,smc,false,false
smc,SMC,ac_swagger,true,false
sld_system_app,SLDSystem,sld_system_app:ac_customer_segment_std:ac_giftcard_std:ac_payment_std:ac_email_marketing_std:bc_tendering:bc_productbinding:bc_urlrewrite:app_bo_transport:ac_organization_hierarchies:ac_inventory_service,false,false
ac_oidc_smc,SMC,ac_oidc_smc,false,true
test_app_sf,BusinessTestSF,app_sf_rest:bc_product_orm:app_sf_rest_smb:test_app_cm:test_app_sf:bc_marketing_impex:bc_productbinding:sld_pdf:ac_pdf_flyingsaucer:bc_urlrewrite:ac_customer_segment_std:pf_axis2:bc_catalog_orm:pmc_rest:app_sf_rest_pricing,false,false
test_app_sf,ConsumerTestSF,app_sf_rest:test_app_cm:test_app_sf:bc_marketing_impex:sld_pdf:ac_pdf_flyingsaucer:bc_urlrewrite:bc_productbinding:bc_product_orm:bc_catalog_orm:ac_customer_segment_std:pf_axis2:pmc_rest:app_sf_rest_configuration:app_sf_rest_country:app_sf_rest_pricing,false,false
dev_handler_chain,DemoCartridges,dev_handler_chain,false,true
dev_basketinfo,DemoCartridges,dev_basketinfo,false,true
dev_trackingservice,DemoCartridges,dev_trackingservice,false,true
dev_apiinfo,DemoCartridges,dev_apiinfo,false,true
as_headless,REST,app_sf_headless:app_sf_headless_emails:app_sf_rest_b2c:app_sf_rest_configuration:app_sf_rest_pricing:pmc_rest:bc_marketing_impex:bc_tendering:bc_rma:bc_productbinding:bc_urlrewrite,false,false
as_headless,REST,ac_customer_segment_std:ac_payment_std:ac_order_submission_service:ac_order_history_service:ac_payment_std:ac_captcha_recaptcha,true,false
as_contactcenter,CC,app_sf_contactcenter_rest,false,false
app_bo_gdpr,SLDSystem,bc_gdpr,false,true
as_backoffice,EnterpriseBackoffice,sld_enterprise_app:ac_customer_segment_std:ac_ruleengine_drools:ac_order_status_import_xml:ac_order_submission_service:ac_order_history_service:ac_order_export_xml:ac_pdf_flyingsaucer:bc_urlrewrite:sld_ch_consumer_plugin:sld_ch_partner_plugin:sld_ch_consumer_orderimport_es64:app_bo_catalog:bc_dashboard_orm:app_bo_dashboard:app_bo_rest_job:app_bo_rest_customer:app_bo_gdpr:bc_store_orm:bc_rma:ac_organization_hierarchies:ac_inventory_service,false,false
as_backoffice,EnterpriseBackoffice,ac_search_solr:ac_search_solr_bo:ac_email_marketing_std,true,false
as_backoffice,B2CBackoffice,sld_ch_consumer_plugin,false,false
as_backoffice,PartnerBackoffice,sld_ch_partner_plugin,false,false
app_bo_contactcenter_cobrowsing,EnterpriseBackoffice,app_bo_contactcenter_cobrowsing,false,true
bc_preview_test,enfinity.BcPreviewTests,bc_preview_test,false,false
dev_bostyleguide,EnterpriseBackoffice,dev_bostyleguide,false,true
ac_oidc_enterprise,EnterpriseBackoffice,ac_oidc_enterprise,false,true
dev_organizationinfo,EnterpriseBackoffice,dev_organizationinfo,false,true
bc_mvc_test,ETest,bc_mvc,false,true
as_cloudinary,SLDSystem,ac_cloudinary,false,true
as_cloudinary,EnterpriseBackoffice,ac_cloudinary,false,true
as_cloudinary,SMC,ac_cloudinary,false,true
