cartridge,dependencies
app_sf_responsive_b2b_test,ac_taxation_std:app_sf_responsive:app_sf_responsive_b2b:app_sf_responsive_smb:app_sf_rest_smb:as_responsive:bc_address:bc_application:bc_application_test:bc_application_testrule:bc_b2b_role:bc_basket:bc_customer:bc_foundation:bc_order:bc_organization:bc_product:bc_product_pricing:bc_punchout:bc_repository:bc_service:bc_service_test:bc_service_testrule:bc_taxation:bc_user:bts:businessobject:configuration:core:etest:isml:orm:orm_mssql:orm_oracle:pf_core_testrule:pf_objectgraph_guice:pf_property:pipeline:servletengine:sld_ch_sf_base
app_sf_responsive_cm,app_sf_base_cm:app_sf_responsive:bc_application:bc_captcha:bc_catalog:bc_foundation:bc_mvc:bc_organization:bc_pmc:bc_product:businessobject:core:isml:pipeline:servletengine:sld_ch_sf_base:sld_mcm:sld_pdf:sld_pmc:xcs
demo_responsive_search,ac_solr_cloud:as_responsive:demo_responsive:demo_responsive_content
as_responsive,ac_customer_segment_std:ac_gtm:ac_gtm_google_analytics:ac_gtm_sf:ac_inventory_service:ac_order_history_service:ac_order_submission_service:ac_pdf_flyingsaucer:app_sf_responsive_b2c:app_sf_responsive_cm:app_sf_responsive_rma:app_sf_rest:app_sf_rest_configuration:app_sf_rest_country:as_backoffice:bc_marketing_impex:bc_rma:bc_urlrewrite:pf_axis2:pmc_rest:sld_pdf:sld_pmc
dev_storefront,app_sf_responsive:bc_application:bc_mvc:bc_orderprocess:core:isml:pipeline:servletengine
app_sf_base_cm,bc_application:bc_catalog:bc_foundation:bc_mvc:bc_organization:bc_pmc:bc_product:businessobject:core:isml:servletengine:sld_ch_sf_base:sld_mcm:sld_pmc:xcs
app_sf_responsive_b2b,ac_cxml_order_injection:ac_order_approval:app:app_sf_responsive:app_sf_responsive_cm:app_sf_responsive_smb:bc_address:bc_application:bc_approval:bc_b2b:bc_b2b_role:bc_basket:bc_catalog:bc_catalog_orm:bc_contract:bc_contract_orm:bc_costcenter:bc_customer:bc_foundation:bc_image:bc_mvc:bc_order:bc_order_approval:bc_order_approval_orm:bc_orderprocess:bc_organization:bc_payment:bc_pmc:bc_pricing:bc_product:bc_product_orm:bc_punchout:bc_quote:bc_rating:bc_repository:bc_requisition:bc_search:bc_spreadsheet:bc_user:bc_wishlist:bts:businessobject:configuration:core:isml:orm:pipeline:servletengine:sld_ch_sf_base:sld_pmc:xcs
app_sf_pwa_cm,app_sf_base_cm:bc_pmc:core:isml:pipeline:servletengine:sld_mcm:sld_pmc
app_sf_responsive,ac_captcha_recaptcha:ac_cxml:ac_giftcard_std:ac_gtm_sf:ac_inventory_service:ac_payment_std:ac_ruleengine_drools:app:app_sf_rest_b2c:bc_abtest:bc_address:bc_addresscheck:bc_application:bc_basket:bc_basket_service:bc_captcha:bc_catalog:bc_catalog_orm:bc_customer:bc_customer_orm:bc_foundation:bc_giftcard:bc_i18n:bc_image:bc_mail:bc_marketing:bc_mvc:bc_order:bc_orderprocess:bc_organization:bc_payment:bc_pmc:bc_preview:bc_pricing:bc_product:bc_product_orm:bc_product_pricing:bc_productbinding:bc_promotion:bc_rating:bc_region:bc_repository:bc_requisition:bc_search:bc_service:bc_shipping:bc_tendering:bc_user:bc_user_orm:bc_warranty:bc_wishlist:bc_wishlist_orm:bts:businessobject:cache:component:configuration:core:emf:isml:orm:orm_oracle:pf_extension:pf_property:pipeline:rest:servletengine:sld_ch_b2c_base:sld_ch_b2c_image:sld_ch_sf_base:sld_pdf:sld_pmc:sld_preview:ui_web_library:xcs
ac_oidc_sf_responsive_b2c,ac_oidc:app_sf_responsive:core:isml
as_responsive_b2b,ac_pdf_flyingsaucer:ac_ruleengine_drools:sld_pdf
app_sf_responsive_test,app:app_sf_responsive:bc_address:bc_basket:bc_catalog:bc_foundation:bc_image:bc_organization:bc_organization_hierarchies:bc_product:bc_search:bc_user:bts:businessobject:configuration:core:dev_query:emf:etest:isml:orm:orm_mssql:orm_oracle:pf_core_test:pf_core_testrule:servletengine:xcs
demo_responsive,ac_inventory_service:as_responsive:bc_service:core:pf_site_prepare
demo_responsive_ocst,core:init_contactcenter
demo_responsive_b2b,ac_order_approval:app_sf_pwa_cm:app_sf_responsive_b2b:app_sf_responsive_cm:app_sf_responsive_costcenter:as_backoffice:as_responsive:bc_foundation:bc_orderprocess:bc_product_rating_orm:bc_service:btc:bts:core:sld_ch_sf_base:xcs
ft_responsive_test,app_sf_responsive_b2b_test:app_sf_responsive_test:ft_responsive
app_sf_responsive_rma,app_sf_responsive:bc_address:bc_application:bc_customer:bc_foundation:bc_order:bc_orderprocess:bc_repository:bc_rma:bc_user:businessobject:core:isml:rest:servletengine:sld_ch_sf_base
app_sf_responsive_smb,app_sf_responsive:bc_address:bc_basket:bc_customer:bc_foundation:bc_mail:bc_order:bc_user:core:isml:servletengine:sld_ch_sf_base
demo_responsive_catalog,as_responsive:core:demo_responsive
ac_oidc_sf_responsive_b2b,ac_oidc:app_sf_responsive:core:isml
app_sf_responsive_gdpr,app_sf_responsive:bc_application:bc_gdpr:bc_mail:bc_user:businessobject:core:isml:pipeline:servletengine:sld_ch_sf_base
app_sf_responsive_b2c,app_sf_responsive:bc_address:bc_addresscheck:bc_customer:bc_foundation:bc_order:bc_user:core:isml:servletengine:sld_ch_b2c_base
ac_oidc_sf_responsive,ac_oidc:app_sf_responsive:core:isml
demo_responsive_content,app_sf_responsive:app_sf_responsive_cm:app_sf_responsive_smb:as_responsive:core:demo_responsive:sld_enterprise_app
ac_oidc_sf_responsive_smb,ac_oidc:app_sf_responsive:core:isml
ac_solr_cloud,
ac_solr_cloud_bo,
ac_solr_cloud,
ac_solr_cloud_bo,
