cartridge,dependencies
ft_content,bc_pmc:bc_pmc_auditing:bc_pmc_validation:bc_preview:bc_preview_orm:pmc_rest
pmc_unit_testing,bc_foundation:bc_pmc:cache:core:emf:etest:orm
bc_preview_orm,app:bc_application:bc_pmc:bc_preview:bc_repository:businessobject:cache:configuration:core:jmx:orm:pf_extension:pf_property
bc_preview,app:businessobject:configuration:core:orm:pf_property
ft_content_test,ft_content:pmc_unit_testing
bc_pmc,app:bc_auditing:bc_auditing_orm:bc_foundation:bc_repository:businessobject:cache:component:configuration:core:emf:file:isml:jmx:orm:pf_cartridge:pf_extension:pf_objectgraph:pf_objectgraph_guice:pipeline:servletengine
pmc_rest,app:bc_application:bc_foundation:bc_pmc:bc_preview:bc_repository:businessobject:cache:core:emf:orm:rest
bc_pmc_auditing,app:bc_auditing:bc_foundation:bc_pmc:core:emf:orm:pf_objectgraph_guice
bc_pmc_validation,app:bc_application:bc_foundation:bc_pmc:bc_repository:bc_validation:businessobject:cache:core:emf:orm
bc_pmc_test,app:bc_application:bc_auditing:bc_auditing_orm:bc_foundation:bc_foundation_test:bc_organization:bc_pmc:bc_pmc_auditing:bc_pmc_validation:bc_repository:bc_service:bc_validation:businessobject:cache:component:configuration:core:dev_query:emf:etest:isml:jmx:orm:orm_mssql:orm_oracle:pf_cartridge:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_objectgraph_testrule:pf_rest_test:pf_unit_test:pipeline:pmc_rest:pmc_unit_testing:rest:servletengine
pf_site_prepare,core:pf_cartridge:runtime
bc_service_test,ac_mail:app:bc_application:bc_application_testrule:bc_foundation:bc_repository:bc_service:bc_service_testrule:businessobject:component:configuration:core:dev_query:etest:orm:orm_mssql:orm_oracle:pf_objectgraph:pf_property:pf_unit_test
bc_i18n_test,app:bc_application:bc_i18n:bc_repository:bc_service:businessobject:core:etest:orm:orm_mssql:orm_oracle
pf_objectgraph_test,orm_mssql:orm_oracle:pf_cartridge:pf_objectgraph:pf_objectgraph_guice
ft_platform_test,ac_prometheus_test:ac_ruleengine_drools_test:bc_address_test:bc_address_testrule:bc_application_test:bc_application_testrule:bc_approval_test:bc_auditing_test:bc_foundation_test:bc_i18n_test:bc_organization_test:bc_platform_rest_test:bc_processchain_test:bc_region_test:bc_service_test:bc_service_testrule:bc_transport_test:bc_user_test:bc_user_testrule:bc_validation_test:ft_platform:orm_mssql_test:orm_oracle_test:pf_axis2_test:pf_businessobject_test:pf_core_test:pf_core_testrule:pf_jwkstorage_test:pf_objectgraph_test:pf_objectgraph_testrule:pf_orm_test:pf_property_test:pf_rest_test:pf_unit_test:ui_web_library_test
bc_authorization,core
bc_address_orm,bc_address:bc_application:bc_region:bc_repository:businessobject:cache:core:orm:pf_extension:pf_property
bc_spreadsheet,core
pf_axis2,app:bc_service:configuration:core:isml:jmx:pf_cartridge:pf_trace:servletengine
bc_i18n,bc_repository:businessobject:core:pf_property
ac_ruleengine_drools,bc_ruleengine:cache:configuration:core:jmx
bc_address_testrule,bc_address:bc_address_orm:bc_application_testrule:bc_region:bc_service:businessobject:core:etest:orm:orm_mssql:orm_oracle:pf_rest_test
rest,app:bc_application:bc_authorization:cache:component:configuration:core:orm:pf_cartridge:pf_jwkstorage:pf_objectgraph:servletengine
bc_approval_demo,bc_approval:bc_repository:bc_service:businessobject:core:pf_property
emf,file:pf_trace
bc_organization_test,app:bc_application:bc_foundation:bc_organization:bc_repository:bc_service:businessobject:cache:component:configuration:core:dev_query:etest:isml:jmx:orm:orm_mssql:orm_oracle:pf_property:servletengine
bc_application,app:bc_i18n:bc_repository:businessobject:component:configuration:core:orm:pf_objectgraph:pf_property:pipeline
core,app:businessobject:cache:component:configuration:emf:file:isml:jmx:orm:pf_cartridge:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_property:pf_trace:pipeline:runtime:servletengine
ac_oidc_rest,ac_oidc:bc_organization:core:orm:rest
