cartridge,dependencies
pf_trace,
runtime,
pf_cartridge,pf_trace:runtime
pf_objectgraph,pf_cartridge:pf_trace:runtime
component,pf_cartridge:pf_objectgraph:pf_trace
jmx,
app,component:jmx
configuration,component
file,
emf,file:pf_trace
pf_extension,component:emf:pf_objectgraph
pf_property,pf_extension
businessobject,configuration:pf_objectgraph:pf_property
cache,jmx
servletengine,runtime
isml,component:pf_cartridge:pf_extension:servletengine
orm,cache:jmx:pf_trace
pf_objectgraph_guice,pf_cartridge:pf_objectgraph
pipeline,component:emf:file:pf_cartridge:pf_extension
core,app:businessobject:cache:component:configuration:emf:file:isml:jmx:orm:pf_cartridge:pf_extension:pf_objectgraph:pf_objectgraph_guice:pf_property:pf_trace:pipeline:runtime:servletengine
bc_repository,app:businessobject:core:jmx:pf_property
bc_i18n,bc_repository:businessobject:core:pf_property
bc_application,app:bc_i18n:bc_repository:businessobject:component:configuration:core:orm:pf_objectgraph:pf_property:pipeline
bc_authorization,core
bc_spreadsheet,core
bc_foundation,app:bc_spreadsheet:cache:component:configuration:core:isml:orm:pf_cartridge:pf_extension:pf_objectgraph:pipeline
pf_jwkstorage,cache:configuration:core:orm
rest,app:bc_application:bc_authorization:cache:component:configuration:core:orm:pf_cartridge:pf_jwkstorage:pf_objectgraph:servletengine
bc_organization,app:bc_application:bc_foundation:bc_repository:businessobject:cache:configuration:core:isml:jmx:orm:pf_property:pipeline:rest:servletengine
bc_region,app:bc_foundation:cache:component:core:emf:isml:jmx:orm:pf_objectgraph:servletengine
bc_address,app:bc_application:bc_organization:bc_region:bc_repository:businessobject:core:isml:pf_extension:pf_property:servletengine
bc_address_orm,bc_address:bc_application:bc_region:bc_repository:businessobject:cache:core:orm:pf_extension:pf_property
bc_auditing,app:bc_application:bc_foundation:bc_repository:businessobject:cache:component:configuration:core:orm:pf_property
bc_auditing_orm,bc_application:bc_auditing:bc_foundation:bc_repository:businessobject:cache:configuration:core:orm:pf_objectgraph:pf_property
bc_service,app:bc_application:bc_foundation:bc_repository:businessobject:cache:component:configuration:core:isml:jmx:orm:pf_objectgraph:pf_property:pipeline:servletengine
bc_mail,app:bc_application:bc_repository:bc_service:businessobject:configuration:core:isml
bc_handler_chain,bc_application:bc_mail:bc_repository:bc_service:businessobject:core:orm
bc_image,app:bc_application:bc_auditing:bc_foundation:bc_organization:bc_repository:bc_service:businessobject:cache:configuration:core:isml:jmx:orm:pf_property
bc_pmc,app:bc_auditing:bc_auditing_orm:bc_foundation:bc_repository:businessobject:cache:component:configuration:core:emf:file:isml:jmx:orm:pf_cartridge:pf_extension:pf_objectgraph:pf_objectgraph_guice:pipeline:servletengine
bc_pmc_auditing,app:bc_auditing:bc_foundation:bc_pmc:core:emf:orm:pf_objectgraph_guice
xcs,app:bc_application:bc_auditing:bc_foundation:bc_image:bc_repository:bc_service:businessobject:cache:component:configuration:core:isml:jmx:orm:pf_extension:pf_objectgraph_guice:pf_property
bc_shipping_data,app:bc_foundation:bc_region:cache:component:configuration:core:isml:jmx:orm:pf_objectgraph:xcs
bc_user,app:bc_address:bc_application:bc_foundation:bc_mail:bc_organization:bc_repository:businessobject:configuration:core:isml:pf_extension:pf_objectgraph:pf_property:pipeline:servletengine
bc_store,bc_address:bc_application:bc_foundation:bc_mail:bc_organization:bc_repository:bc_user:businessobject:core:jmx:pf_property
